Context,Utterance,Label
"not too long then __eou__ check if my hous be on fire on the way through -- it 's by the trainlin on the way out __eou__ __eot__ we need depend in init script : p __eou__ __eot__ bonjour , a va ? __eou__ __eot__ trs bien merci : ) et toi ? on parl franai aujourd'hui ? : ) __eou__ yeah schema in /etc be a bad idea , will be fix but not for warti __eou__ __eot__ oi , bitch ! : p __eou__ weird , need to nuke ~/.gnome2/sess to get my icon and cursor theme again __eou__ __eot__ have you keep the faulti one ? __eou__ __eot__ /usr/share/control-center-2.0/capplets/vino-properties.desktop have icon=gnome-remote-desktop.png __eou__ __eot__ have you start the session with gdm ? __eou__ __eot__ gtkhtml3.2 conflict with gtkhtml3.1 __eou__ be you realli sure you ve fix the gnome-settings-daemon problem ? nautilus be current refus to respond to a background chang notif __eou__ __eot__ which problem ? __eou__ __eot__","well , nautilus be n't react to ani chang in the background ( from the properti ) dialog until it be kill and respawn __eou__",1
"oh , random point ... we re list as fieldwav ltd here __eou__ __eot__ thank . that 's actual rather use to know : ) __eou__ __eot__",# ? __eou__ sub-process /usr/bin/dpkg return an error code ( 1 ) __eou__,1
"on yer bike ! __eou__ not even for gdmflexiserv xnest love ? __eou__ that be intent . : - ) __eou__ __eot__ no dude , i mean the white paper one . __eou__ __eot__ ... oh ? ! __eou__ __eot__ turn out i preserv /home __eou__ rather then start complet over . __eou__ __eot__ what do you think about ad current gnome-bluetooth foo to univers ? __eou__ __eot__","vagu shaki , as i do n't even upload it to sid ... __eou__",1
"dude , stop slag off our weather . british weather be fun , it keep you on your toe : ) __eou__ dude , you go home ! __eou__ __eot__ dude , yex __eou__ you re go to love it : ) __eou__ __eot__",there be anoth cd burn patch for rhythmbox ... __eou__,1
it 's not clear from your email etc . whether it 's ok to talk in public about this ? __eou__ __eot__ yeah __eou__ we 'd kinda like to keep it quiet ; ) __eou__ i ve updat the faq page on the wiki __eou__ __eot__,i think that tutori be outdat - veri first instruct fail __eou__ and it differ slight to what ubotu have to say __eou__,0
"can you sort me out a wiki account ? __eou__ __eot__ for warti ? __eou__ __eot__ build against unstabl , so ought to work fine in warti __eou__ it 's in http : //www.codon.org.uk/~mjg59/tmp/ __eou__ __eot__ build __eou__ work here __eou__ __eot__","default for recoveri mode be to not ask for password , if it doe , it msi well have . __eou__",0
you just click userprefer and creat one ... __eou__ __eot__ i ca n't access the wiki at all - it throw http auth at me __eou__ __eot__,unless nat get distract by someth shinier < g > __eou__,1
i do n't believ apt doe support rsync __eou__ __eot__ i think i be think of ssh __eou__ __eot__,"heh : ) __eou__ kinnison just call me -- appar , inspir have strike regard grub-instal and xfs __eou__ can you call him ? __eou__",1
"hey dieman , good to see you __eou__ __eot__ nice to see you too . __eou__ __eot__ there 's a pkg-diff tool ... __eou__ yeah __eou__ daily/current/ __eou__ 30/40-some gig __eou__ __eot__ yike __eou__ i might just rsync the current ' dir __eou__ __eot__ that make more sens __eou__ eventu you ll probabl just want to take /releases/ __eou__ yes , a direct copi __eou__ cool __eou__ __eot__ be discover1-data sync' with sid ? __eou__ in ubuntu ? __eou__ __eot__",oh okay thank for the tip ... ill have to learn more then to figur that out but wont worri that for now as this laptop should last __eou__,0
"hmm __eou__ im go to have to compar our packag list to the seed . __eou__ and figur out what leave over __eou__ __eot__ ooh , pleas post to the mail list when you do __eou__ __eot__ sure __eou__ __eot__ just work out how we can make an easi to use list of all our support packag for you to compar against - > easier than compar with the seed ; ) __eou__ we basic disabl discov __eou__ __eot__ ahh , ok __eou__ __eot__ haha : ) oop __eou__ __eot__","btw , metavers be a great idea , i 'm impress with it so far . __eou__ or whatev this non-fre stuff in ubuntu thing be : ) __eou__",1
"so how doe laptop-detect work ? __eou__ __eot__ with some nasti sed and grep __eou__ get off the train , walk to taxi , say `` the oxford hotel '' __eou__ __eot__ sound easi . oxford onli have one station i presum __eou__ __eot__ yep __eou__ the big sign say canon will probabl be a clue : - ) __eou__ __eot__ i might call you when i get there to find someon i know : ) __eou__ __eot__ that 's a featur __eou__ learn to count : - ) __eou__ shame about it 's author __eou__ __eot__ the no-arm frenchman you mean ? i just packag it __eou__ actual , there be probabl still rosscod in it __eou__ i 'm still wait for the patch __eou__ __eot__ pffft __eou__ __eot__ think i ve near get qualiti sort ! __eou__ __eot__ cool : - ) __eou__ hrm , care to file a bug to remov ephi web bookmark for us , too ? __eou__ doe it work correct in debian ? do you not get ani event at all when you plug it in post boot ? __eou__ __eot__ dude , it 11 and you ve just have breakfast . get up earlier you slacker __eou__ __eot__ i ve be up sinc 8 : - ) __eou__ __eot__ http : //www.advogato.org/person/alex/diary.html ? start=10 . per-us apach daemon ... __eou__ __eot__ heh , nice __eou__ prefork with no modul load , 2m be about right __eou__ jdub hate __eou__ if your instal be n't recent , you need to add restrict ' to your apt sourc __eou__ __eot__ thank __eou__ fool , you should have get some sleep __eou__ __eot__","yay : - ) __eou__ ooh , love __eou__",1
"do robot101 leave alreadi ? ` __eou__ __eot__ yeah , yesterday __eou__ have fun , and congrat __eou__ __eot__ i would love to know that ... __eou__ can you do a test for me if you can ? but you will have to exit x __eou__ ? ? ? __eou__ __eot__ yes , it 's 105. most everyth that be n't us be 105 aiui __eou__ s/until/a long as/ __eou__ __eot__ thank : - ) __eou__ no idea ... __eou__ fresh instal of crack of the day : gdm login - > `` ca n't access acpi bla bla bla '' __eou__ you do n't want to be me ... __eou__ ah , it happen to you too ? ( the gdm start ) ... __eou__ for the resolut too low , we need to chang xresprob . __eou__ x doe n't guess or scale anyth . it just accept xresprob output as-i __eou__ __eot__ it 's the old thing - i get 1280x1024 ad to the end of the line , but this be an lcd monitor , and that 's the nativ res __eou__ __eot__ yes . i rememb that ... we need to chang xresprob to not sort resolut __eou__ do you report gdm not start on a fresh instal ? __eou__ __eot__ no , will do __eou__ __eot__",i can do it.. do n't worri __eou__ gdm ? __eou__,1
"damn , your french be good , better than my english ... we should talk french here : ) __eou__ yeah , i know that feel : p __eou__ __eot__ what , your french suck ? __eou__ that sound reason __eou__ ^ __eou__ dude __eou__ __eot__ what ? __eou__ __eot__ fresh instal . gedit appear to be http handler again __eou__ __eot__ same problem , gconf key for enabl off ? __eou__ __eot__ yeah __eou__ both http and https have command and enabl set to < no valu > __eou__ __eot__ lc_all=c home=/root gconf_config_source=`gconftool-2 -- get-default-source` gconftool-2 -- makefile-install-rul /usr/share/gconf/schemas/desktop_gnome_url_handlers.schema & & killal gconfd-2 and then look at the key again help ? __eou__ oup , s # /usr/share/ # /etc/ # __eou__ __eot__","listen i 'm not your wikipedia . __eou__ if you do n't want to do it , then do n't . ; ) __eou__",0
"we have reach the string freez iirc __eou__ warti or debian ? __eou__ ok __eou__ we have not move the schema in warti __eou__ no idea __eou__ they should never chang __eou__ me ? no __eou__ but i do n't packag evolut : ) __eou__ and i want the new evolution1.5 releas packag __eou__ new fileselector in this one __eou__ __eot__ yeah , it look nice too :0 __eou__ __eot__ sorri , i ve not have time to look on your patch yet , but i do n't forget it , do n't worri __eou__ __eot__ it ok , i ll do the chang , just keep work __eou__ i 'm wait for the new pmount as well __eou__ sorri , my bad __eou__ i think we may roll back that patch anyway __eou__ __eot__ no problem , do n't worri __eou__ what 's a `` pretti initscript '' ? ( ie : what be you chang in the script ? ) __eou__ __eot__ all output in all initscript be be chang to use the output function from /lib/lsb/init-funct __eou__ actual , i ve secret encod picur of beauti women into the initscript code ; ) __eou__ __eot__ cool : ) __eou__ that 's industri icon theme __eou__ __eot__ they take up most of my screen __eou__ and i 'm run at 1600x1200 __eou__ __eot__ ok , so that not . i ve the feel that industri icon be like 1.5 bigger here , but not take most of the screen __eou__ __eot__",no worri ! __eou__,0
"hi there __eou__ pleas mail the sounder list - > we should realli look at that __eou__ __eot__ i do not realli want subscrib to yaml . i ad a note in the wiki earlier today __eou__ __eot__ yeah , so hope we ll be ship gpdf by default in hoari , with mozilla plugin good . __eou__ __eot__ be it in gnome 2.8 ? i have n't see it yet __eou__ __eot__",look at /usr/share/doc/binutils/ then __eou__,0
"she doe n't get to until i get home . __eou__ gnome usb palm . config . __eou__ __eot__ what 's the problem ? __eou__ __eot__ probabl user error . __eou__ and then if there 's a `` set up your usb palm with evolut '' howto-for-the-clueless , that 'd be wonderful.. __eou__ __eot__ hrm , dunno __eou__ __eot__ someon 's blog , i imagin ? __eou__ __eot__","mmm , gnome dude from perth __eou__ btw , __eou__",1
"iso download , eta an hour and chang __eou__ __eot__ you might just get to it befor lamont 's winona doe , then ; - ) __eou__ hrm , those be the `` gdm/x do not start '' dialogu __eou__ utf-8 problem with dialog __eou__ __eot__",autom __eou__,0
"yo dude __eou__ __eot__ dude __eou__ __eot__ sup ? __eou__ __eot__ be fun watch the .us and .au swimmer duke it out in the olymp swim meet ... __eou__ __eot__ heh __eou__ __eot__ see you next week ? __eou__ __eot__ oh , auug , right . rock . __eou__ just drop me an email , or call +61 403 505 896 __eou__ __eot__ i arriv tuesday morn your time , depart fri morn , will be stay at the duxton __eou__ __eot__ ... three day ? __eou__ __eot__ short visit this time , my daughter be particip in a state-level violin competit a week from tomorrow , i want to be home for that . __eou__ __eot__","last time i tri enlighten , it wasnt veri stabl __eou__ it 's be about a year tho __eou__",0
"fab __eou__ and where be you in the hotel ? __eou__ or should i just follow my nose for the smell of laptop and stale sweat ? __eou__ __eot__ i be in finnstock __eou__ be you search for me befor ? __eou__ do you upgrad or do you instal xserver ? __eou__ it work if it can detect everything.. yes . __eou__ you around ? __eou__ __eot__ do __eou__ __eot__ be you on a laptop ? __eou__ __eot__ no , desktop with iiyama lcd __eou__ __eot__ chipset ? __eou__ __eot__ nvidia corpor nv18 __eou__ in x or from a consol ? __eou__ __eot__",wpa2 ? __eou__,0
"yo __eou__ walk in , turn leave , first right into the confer centr , up the stair , first right to the end into the cherwel room __eou__ i suggest mad phat ' __eou__ __eot__ you can onli say `` mad phat '' if cruis down a street with jdub 's bang ghetto blaster __eou__ so my lcd manual say it support `` ddc 1/2b '' yet xresprob say it a generic monitor ( non ddc ) __eou__ __eot__ what doe ddcprobe say ? __eou__ pc104 use to work , but now you just silent use a key : ) __eou__ __eot__ i ll torment you as well unless you tell me where your x.org deb be ; ) __eou__ __eot__ http : //fooishbar.org/daniel/canonical-x/ , i 'm not even go to tell you what the deb line be becaus here be dragon , serious __eou__ if you realli , serious need them , i ll upload all the sourc packag form my laptop ; expect those one to even instal be a bite of a stretch as i be in the middl of redo all of them when i start exclus work on warti concern __eou__ __eot__ i keep on think about play with composit et al , that be all __eou__ __eot__ ah . probabl best to just bust out jhbuild and build kdrive , then ? __eou__ __eot__ yeah __eou__ it great __eou__ hoff and shatner be in it __eou__ __eot__ dude ! no shit ? __eou__ __eot__ http : //imdb.com/title/tt0364725/fullcredit __eou__ be n't that against some intern law ? __eou__ be n't this pleasant ? __eou__ __eot__ yeah , just accident whack the wrong key . how 's thing ? __eou__ __eot__",not bad . final saw shaun of the dead so thing be look up . you ? __eou__,1
"hey dude __eou__ __eot__ howerya __eou__ __eot__ not too bad , tri to find a way to get me a ticket to melbourn in my hand befor friday morn __eou__ __eot__ yes , 9th-17th : ) __eou__ __eot__",good luck . all i can say be . i hope you get backup handi also . __eou__,0
"i 'm in wooten with jeff and some other guy __eou__ __eot__ ani reason whi i need to join there ? __eou__ __eot__ no __eou__ s/fabbione/rburton/ in fact __eou__ alreadi hear about such problem ? __eou__ jdub be wait for the new libsoup/gtkhtml/evolut packag to fix evolution-* __eou__ i be kind of wait for kitam packag in debian to spare some work , usual he packag them pretti quick __eou__ __eot__ well the problem be that warti be not instal atm . __eou__ and all daili be crack __eou__ __eot__ outch , ok __eou__ __eot__ ok thank . __eou__ pinf __eou__ gnome-gam __eou__ anyth simpl that work be fine . i do n't need anyth fanci __eou__ qcad look good : ) __eou__ __eot__","about # 1045 , you re sure the buffer be lose ? iirc you can switch back to the consol __eou__",1
"nobodi here have __eou__ http : //people.debian.org/~joey/3.0r3/ have a coupl packag in `` need more info '' status becaus they never build on hppa and/or ia64 ... get time to take a peek ? __eou__ __eot__ curious ... all of the packag mark miss hppa ' i ve look at be either ( 1 ) build success long ago , or ( 2 ) not tri __eou__ __eot__ debian-on packag ( debootstrap ) that i 'm about to nmu have version 0.2.44 ... be 0.2.44.1 the right version for me to use for a sourc nmu ? __eou__ __eot__ that 's what i 'd use __eou__ __eot__ thank , i 'm never sure what to do with debian-on version number ... __eou__ __eot__ it 's realli a question of whether or not the previous version be an nmu.. __eou__ __eot__ to the best of my knowledg , dselect be still the onli front-end to packag manag that get the handl of all depend type right . __eou__ __eot__","yeah , but if you have binari in your packag , that depend on a shlib , be it _legal_ to make that just a recommend ? __eou__",1
more or less all of the loos machin avail for tri thing out here be non-i386 system ... __eou__ __eot__ sudo -s __eou__ what kernel be you run on your laptop these day ? __eou__ __eot__,on the nc4000 ? __eou__ locally-built 2.6.8.1 __eou__,1
"i onli have a singl machin here , so i want to make sure that it 's actual serv proper without resort to multipl x server __eou__ do you want sourc or be a deb fine ? __eou__ __eot__ just vncclient to localhost __eou__ __eot__",doe n't that go horribl wrong ? __eou__ s/locale/locate/ ? __eou__,1
"anyon awak ? __eou__ i just have the same problem as bdale yesterday __eou__ i have to manual add my driver to the xf86config __eou__ i have the same garbl text dialog also . __eou__ __eot__ which driver be write in the config file ? __eou__ if you notic a bug in sid pleaas report it to debian . if the same behaviour happen with warti , pleas let us know and we will track the bug as well __eou__ __eot__","my fellow opera , i ca n't view embed video on webpag . can you ? __eou__",0
"the c3 , dude __eou__ __eot__ ping __eou__ __eot__ pong __eou__ __eot__ be jriddel a sane kde dude ? __eou__ __eot__ yeah __eou__ he seem to be , at ani rate __eou__ __eot__ so who do you reckon i should start talk to about kubuntu ? __eou__ __eot__ i do n't know if mornfal or ervin have tri it ; they seem quit busi . have they email you ? __eou__ i think jriddel could quit well be a sane kubuntu seed __eou__ blardi hell . : \ __eou__ yeah , i think that could be good __eou__ __eot__ do you speak to him at akademi ? __eou__ __eot__ actual , no ; go figur __eou__ __eot__ intrigu __eou__ so do akademi keep the kde flame burn insid your heart ? __eou__ __eot__ the pilot light be out , and it do n't even provid a bite of gas __eou__ the discuss about the control centr be classic . they be talk about do macrous on it , and i put my hand up and point out that even when i be hack on it , it still take me 5 minut to find what i want , and get a bite of scorn for that __eou__ __eot__ be you come up for debsig ? __eou__ __eot__ yeah , probabl just for the day though __eou__ that 's probabl fun with framebuff __eou__ acpi=forc __eou__ __eot__","yeah , it say that right next to it ... but i do n't think i want to : ) __eou__",1
"when i find a network connect for the c3 , i ll get you it dsdt __eou__ __eot__ dsdts ? __eou__ __eot__ \o/ ubuntu __eou__ heh __eou__ your job be to entertain me so i do n't fall asleep at 2pm and total destroy my migrat to aest __eou__ what specif from d-bus do you need ? we can probabl backport it __eou__ __eot__ rock __eou__ __eot__ um , i ve not have ani problem with the acpi.sf.net patch ( default warti kernel ) __eou__ __eot__ for suspend-to-disk __eou__ oh , yeah , i be suppos to tell you what be need from cvs dbus for beagl ... __eou__ __eot__ if you want a backport , yeah ; ) __eou__ __eot__ the busdriver.c stuff in the mono directori __eou__ __eot__ ok , i ll check it out __eou__ __eot__ basic , everyth trow have ad sinc the end of august __eou__ __eot__ 'k __eou__ 16 million ? __eou__ __eot__ if i think big all the time , i be disappoint all the time . as a result , i be use to disappoint and rare feel unhappi . __eou__ __eot__ your livejourn disagre with you __eou__ __eot__ anger doe not impli unhappi __eou__ __eot__ fair enough __eou__ __eot__ this be , uh , not strict true __eou__ __eot__ hey man , do you *feel* how hot that thing get ? __eou__ __eot__ i ve get the craptop readi and wait for via driver updat ... __eou__ __eot__","at the moment , as fabbion allud to , you get to pick which half of the deploy via userbas you want to screw __eou__ yay ! __eou__ yeah , i think it total screw dfp user also __eou__ obnoxi highlight trigger ^^ __eou__ hm , i think fglrx use dri __eou__",1
"oh __eou__ i be slow : ) __eou__ haha , think you be in wootton # __eou__ __eot__ damn it ... __eou__ can you tell the bastard that he should have come on tuesday ? __eou__ __eot__ whoa , d'ubuntu ! : ) __eou__ __eot__",choos __eou__ sound great doe n't it ? : ) __eou__ doe that exist ? __eou__,1
be kamion around ? __eou__ ok thank __eou__ ubuntu6 have a few nasti bug we want fix __eou__ i be build a test releas right now __eou__ __eot__ ani eta on new imag ? __eou__ __eot__ i think there will be soon new imag with the new x __eou__ __eot__ cool.. just clear out some spare drive so i can do a number of instal __eou__ __eot__ x on sounder6 be safe __eou__ __eot__ no prob __eou__ __eot__ uk __eou__ rsync be your friend __eou__ i sugget to use rsync __eou__ rsync will fix the iso __eou__ __eot__ rsync wo n't bring back the directori inod __eou__ __eot__ that 's not complet true ... __eou__ __eot__,esp sinc it 's 8pm here __eou__,1
"this be _good_ crack . __eou__ __eot__ yup __eou__ __eot__ that be last friday . : ) __eou__ __eot__ we buy the hous today ! : ) __eou__ alway ! __eou__ be you busi ? __eou__ __eot__ i think it might return ppc64 as well __eou__ i will , i think __eou__ __eot__ we still have the bts via imap access : - ) __eou__ __eot__",what would you then call it ? __eou__,0
be kamion around ? __eou__ __eot__ i think he 's sleep __eou__ __eot__ we will need anoth x kick today __eou__ __eot__,"no , it be a launch script for a program call ren'pi . __eou__",0
